horizon,blocked_regimes,exit_strategy,trailing_pct,timeout,total_pnl,total_pnl_pct,win_rate,total_trades,profit_factor,max_drawdown_pct,sharpe,expectancy,time_seconds,time_data_split,time_build_similarity,time_init_decision,time_walk_forward,time_calc_metrics
30,"HIGH_VOL,TREND_LOW_VOL",TP_ONLY,0.0,0,-1572.555711132933,-15.72555711132933,99.16317991631799,239,0.4593372369542817,29.06953145313471,-0.03492150764188244,-6.579731008924404,375.5702769756317,0,0,0,0,0
30,TREND_LOW_VOL,TP+TRAIL_1%,0.01,0,-1572.555711132933,-15.72555711132933,99.16317991631799,239,0.4593372369542817,29.06953145313471,-0.03492150764188244,-6.579731008924404,361.1997847557068,0,0,0,0,0
30,TREND_LOW_VOL,TP+TRAIL_2%,0.02,0,-1572.555711132933,-15.72555711132933,99.16317991631799,239,0.4593372369542817,29.06953145313471,-0.03492150764188244,-6.579731008924404,359.56439208984375,0,0,0,0,0
30,HIGH_VOL,TP+TRAIL_0.5%,0.005,0,-1731.951476944006,-17.319514769440058,95.43726235741445,263,0.45494216496164747,29.06953145313471,-0.03665525444386223,-6.585366832486714,377.25476026535034,0,0,0,0,0
30,NONE,TP+TRAIL_0.5%,0.005,0,-1731.951476944006,-17.319514769440058,95.43726235741445,263,0.45494216496164747,29.06953145313471,-0.03665525444386223,-6.585366832486714,358.3214819431305,0,0,0,0,0
30,TREND_HIGH_VOL,TP+TRAIL_0.5%,0.005,0,-1731.951476944006,-17.319514769440058,95.43726235741445,263,0.45494216496164747,29.06953145313471,-0.03665525444386223,-6.585366832486714,442.2018473148346,0,0,0,0,0
30,TREND_LOW_VOL,TP+TRAIL_0.5%,0.005,0,-1801.3765672166662,-18.013765672166663,95.95141700404858,247,0.4240192533066505,29.069531453134694,-0.03934470953263596,-7.293022539338727,364.56562781333923,0,0,0,0,0
30,"HIGH_VOL,TREND_LOW_VOL",TP+TRAIL_0.5%,0.005,0,-1801.3765672166662,-18.013765672166663,95.95141700404858,247,0.4240192533066505,29.069531453134694,-0.03934470953263596,-7.293022539338727,389.0485694408417,0,0,0,0,0
15,HIGH_VOL,TP+TRAIL_2%,0.02,0,-4055.682524072874,-40.55682524072874,50.0,322,0.0768394468459212,41.436539936847176,-0.054672586454478145,-12.595287341841223,408.40567207336426,0,0,0,0,0
15,HIGH_VOL,TP+TRAIL_1%,0.01,0,-4055.682524072874,-40.55682524072874,50.0,322,0.0768394468459212,41.436539936847176,-0.054672586454478145,-12.595287341841223,419.6846513748169,0,0,0,0,0
