entry_time,exit_time,direction,entry_price,exit_price,rsi_at_entry,gross_profit_bps,net_profit_bps,mfe_bps,mae_bps,exit_bar,exit_reason,is_winner,hold_hours
2025-01-20 05:15:00,2025-01-20 06:15:00,SHORT,102485.74,102528.25722,83.14376806477965,-4.14859862454988,-12.14859862454988,25.85140137545012,-29.27334085698115,4,TRAILING_STOP,False,1.0
2025-01-21 12:15:00,2025-01-21 14:30:00,SHORT,103977.99,103578.49397,82.04318641900767,38.42121106591958,30.42121106591958,68.42121106591958,-129.0667380663922,9,TRAILING_STOP,True,2.25
2025-01-27 21:15:00,2025-01-27 21:45:00,SHORT,102295.12,101260.88536,81.57722352897292,101.10302817964293,93.10302817964293,131.10302817964293,0.0,2,TRAILING_STOP,True,0.5
2025-02-03 08:30:00,2025-02-03 08:45:00,SHORT,95390.39,95253.49117000001,80.74490745332514,14.351427853475855,6.351427853475855,44.351427853475855,-2.241315922914736,1,TRAILING_STOP,True,0.25
2025-02-08 01:45:00,2025-02-08 02:15:00,SHORT,96650.01,96689.07002999999,80.37312597896529,-4.041389131775627,-12.041389131775627,25.958610868224373,-9.697877941244961,2,TRAILING_STOP,False,0.5
2025-02-08 19:15:00,2025-02-08 23:30:00,SHORT,96500.0,96647.99999999999,81.92928113204344,-15.336787564766839,-23.336787564766837,14.663212435233161,-25.906735751295336,17,TRAILING_STOP,False,4.25
2025-02-17 22:00:00,2025-02-18 01:00:00,SHORT,96409.33,95827.23799,82.87746718765688,60.37714503357786,52.37714503357786,90.37714503357786,0.0,12,TRAILING_STOP,True,3.0
2025-02-22 11:45:00,2025-02-22 18:15:00,SHORT,96595.0,96744.78499999999,84.43174927393014,-15.506496195455252,-23.506496195455252,14.493503804544748,-39.85713546249806,26,TRAILING_STOP,False,6.5
2025-02-22 12:15:00,2025-02-22 18:15:00,SHORT,96646.0,96744.938,87.89033016798135,-10.237154150197629,-18.23715415019763,19.76284584980237,-34.55911263787431,24,TRAILING_STOP,False,6.0
2025-02-28 00:00:00,2025-02-28 01:30:00,SHORT,84708.57,81365.12571000001,81.34217538291983,394.69964963403424,386.69964963403424,424.69964963403424,-9.378035776071744,6,TRAILING_STOP,True,1.5
2025-02-28 14:15:00,2025-02-28 14:30:00,SHORT,81959.16,81318.10747999999,80.7224025974023,78.21609201460917,70.21609201460917,108.21609201460917,-58.019140264491426,1,TRAILING_STOP,True,0.25
2025-03-02 15:00:00,2025-03-02 15:15:00,LONG,85107.45,87129.7851,16.701321349519674,237.62139507175965,229.62139507175965,257.62139507175965,0.0,1,TRAILING_STOP,True,0.25
2025-03-04 19:00:00,2025-03-04 21:00:00,SHORT,86764.25,86842.56275,81.15131411218816,-9.025923695531752,-17.025923695531752,20.974076304468248,-239.24369772112348,8,TRAILING_STOP,False,2.0
2025-03-04 19:45:00,2025-03-04 20:00:00,SHORT,88009.96,88108.11988,80.66706483285436,-11.15326947086331,-19.15326947086331,18.84673052913669,-34.14272657321861,1,TRAILING_STOP,False,0.25
2025-03-06 14:00:00,2025-03-06 14:30:00,LONG,89569.13,90171.38174000001,14.841122248256383,67.23876183680687,59.23876183680687,87.23876183680687,-50.402409848126425,2,TRAILING_STOP,True,0.5
2025-03-10 02:30:00,2025-03-10 03:30:00,SHORT,82146.03,82038.25809000002,85.50147340328378,13.119551851744,5.119551851743999,43.119551851744,-51.252629007147895,4,TRAILING_STOP,True,1.0
2025-03-11 04:45:00,2025-03-11 05:00:00,SHORT,79943.05,79959.69915,84.95651614690489,-2.082626319610327,-10.082626319610327,27.917373680389673,-45.90142607768869,1,TRAILING_STOP,False,0.25
2025-03-12 04:45:00,2025-03-12 05:00:00,LONG,81651.77,81775.77646000001,16.977487678167137,15.187234765394265,7.187234765394265,35.187234765394265,-4.258327774156528,1,TRAILING_STOP,True,0.25
2025-03-25 04:30:00,2025-03-25 06:30:00,LONG,86450.88,86706.86824,17.642288327457734,29.610831029134623,21.610831029134623,49.61083102913462,-5.885423028661438,8,TRAILING_STOP,True,2.0
2025-03-29 00:30:00,2025-03-29 03:15:00,SHORT,84537.74,83963.28322,80.40710802761987,67.95270136154657,59.95270136154657,97.95270136154657,-4.2324292085403314,11,TRAILING_STOP,True,2.75
2025-04-01 14:15:00,2025-04-01 15:15:00,LONG,82796.11,85061.67778,17.3376512083137,273.63215252504057,265.63215252504057,293.63215252504057,0.0,4,TRAILING_STOP,True,1.0
2025-04-04 00:00:00,2025-04-04 00:15:00,SHORT,83213.09,83302.94927,87.22475444565694,-10.798694051621105,-18.798694051621105,19.201305948378895,-20.321322042001544,1,TRAILING_STOP,False,0.25
2025-04-07 22:45:00,2025-04-08 00:00:00,SHORT,79948.94,79323.17682,80.95880230161565,78.27035355315537,70.27035355315537,108.27035355315537,-16.892031339002482,5,TRAILING_STOP,True,1.25
2025-04-28 05:15:00,2025-04-28 06:00:00,SHORT,94130.43,94316.04129,87.83699983422443,-19.71852141756934,-27.71852141756934,10.281478582430658,-31.497784510280603,3,TRAILING_STOP,False,0.75
2025-05-03 14:30:00,2025-05-03 17:45:00,SHORT,96365.99,96158.77796999998,81.00597030696973,21.502609997574062,13.502609997574062,51.50260999757406,-14.885957172234423,13,TRAILING_STOP,True,3.25
2025-05-03 15:15:00,2025-05-03 17:45:00,SHORT,96461.57,96159.06470999999,89.19412813000423,31.360187274581364,23.360187274581364,61.360187274581364,-2.3387552161962186,10,TRAILING_STOP,True,2.5
2025-05-05 18:45:00,2025-05-05 20:45:00,SHORT,94845.48,94160.53644,80.26933986946102,72.21678460586588,64.21678460586588,102.21678460586588,-5.748297124966216,8,TRAILING_STOP,True,2.0
2025-05-05 19:15:00,2025-05-05 20:45:00,SHORT,94804.87,94160.41461,80.36843147797038,67.97703430214032,59.977034302140325,97.97703430214032,0.0,6,TRAILING_STOP,True,1.5
2025-05-12 23:15:00,2025-05-13 01:00:00,SHORT,102916.43,102474.13928999999,82.37734590835511,42.97571437330207,34.97571437330207,72.97571437330207,-18.105952567535724,7,TRAILING_STOP,True,1.75
2025-05-19 03:30:00,2025-05-19 15:15:00,LONG,104217.4,104478.97520000002,16.56487568346475,25.098994985483166,17.098994985483166,45.098994985483166,-212.7667740703562,47,TRAILING_STOP,True,11.75
2025-05-20 08:30:00,2025-05-20 10:30:00,LONG,104895.24,105206.86952000001,18.114204840852395,29.708642641934773,21.708642641934773,49.70864264193477,0.0,8,TRAILING_STOP,True,2.0
2025-05-21 10:00:00,2025-05-21 12:00:00,LONG,106200.03,106529.30993999999,16.24403970287689,31.00563530914328,23.00563530914328,51.00563530914328,-3.90395369944734,8,TRAILING_STOP,True,2.0
2025-05-24 11:30:00,2025-05-24 14:45:00,SHORT,109337.01,108868.01103000001,89.83013798442525,42.89480478750926,34.89480478750926,72.89480478750926,-1.7706721630672526,13,TRAILING_STOP,True,3.25
2025-05-25 20:00:00,2025-05-25 21:00:00,SHORT,107717.02,107732.24106,87.28660388265655,-1.4130598859857493,-9.41305988598575,28.58694011401425,-18.327651470491688,4,TRAILING_STOP,False,1.0
2025-05-28 23:30:00,2025-05-29 00:15:00,SHORT,107956.55,107744.98964999999,81.56990402879083,19.596805381424986,11.596805381424986,49.596805381424986,-5.878290849419683,3,TRAILING_STOP,True,0.75
2025-05-29 09:00:00,2025-05-29 10:45:00,SHORT,108492.5,108673.62749999999,81.34857959621189,-16.69493282945772,-24.69493282945772,13.305067170542278,-33.610618245500305,7,TRAILING_STOP,False,1.75
2025-05-31 14:15:00,2025-05-31 15:15:00,SHORT,104404.41,104601.27322999999,87.13922546594945,-18.855834729586057,-26.855834729586057,11.144165270413943,-36.364364302236226,4,TRAILING_STOP,False,1.0
2025-06-06 05:45:00,2025-06-11 10:45:00,SHORT,102883.72,109373.12,81.15514497535261,-630.7509098621233,-638.7509098621233,0.0,-743.2128231755225,500,TIME_EXIT,False,125.0
2025-06-06 11:30:00,2025-06-06 13:00:00,SHORT,103852.99,103825.25897,80.83912768647271,2.670219701908259,-5.329780298091741,32.67021970190826,-43.04257393070674,6,TRAILING_STOP,False,1.5
2025-06-13 23:30:00,2025-06-14 07:30:00,SHORT,105874.27,105110.60281,80.21331604455968,72.12962979579535,64.12962979579535,102.12962979579535,-35.6772235596048,32,TRAILING_STOP,True,8.0
2025-06-14 00:00:00,2025-06-14 07:30:00,SHORT,106066.59,105111.17976999999,80.91384512781246,90.07645385790198,82.07645385790198,120.07645385790198,-17.48052803432292,30,TRAILING_STOP,True,7.5
2025-06-17 00:15:00,2025-06-17 00:30:00,LONG,106231.9,106781.3162,19.54844449630258,51.718570410583325,43.718570410583325,71.71857041058333,0.0,1,TRAILING_STOP,True,0.25
