total,target,horizon,case0_count,case0_entry_range_median,case0_future_range_median,case0_expansion_median,case0_expansion_p75,case0_expansion_p25,case1_count,case1_entry_range_median,case1_future_range_median,case1_expansion_median,case1_expansion_p75,case1_expansion_p25,case2_count,case2_entry_range_median,case2_future_range_median,case2_expansion_median,case2_expansion_p75,case2_expansion_p25,case3_count,case3_entry_range_median,case3_future_range_median,case3_expansion_median,case3_expansion_p75,case3_expansion_p25,dataset
2099697,15,60,69692,7.934995991681854,9.434398977862626,1.1881310320822407,1.8792043799591096,0.7978211417433477,203528,5.199594665819129,6.5422389719647684,1.274993409383863,2.134175947944172,0.8201520016298174,1391592,8.942275624256146,9.868246871198908,1.1059662159234311,1.6296885815321627,0.7719501666029668,434307,5.0693264646243215,5.681464971698255,1.1522949676707546,1.8267151350776634,0.7666667987543893,train
2099697,15,120,70139,7.884843530145065,9.465443240976697,1.1979716268784661,1.9235121184835842,0.7943163067034967,203528,5.199594665819129,6.85815534699043,1.3220282402225758,2.2242660116440773,0.8382320620226874,1574034,8.470388368101352,9.570785667180765,1.1260076492317945,1.692363918100753,0.7712642856685705,251865,4.862460715822741,5.538269271560557,1.1862791282032525,1.9199313369720294,0.7750056515704711,train
2099697,20,5,36040,11.4383950124865,13.91825940374827,1.2526551973582267,1.8873305580916548,0.8725289321538674,271705,5.221214725445853,5.626046323157602,1.0843525342200433,1.720748896400258,0.7311285269506068,352593,14.754756775098397,16.613414075056212,1.1426294028831587,1.639583616227916,0.8217412042371681,1419926,6.9102670147913745,7.159594995468943,1.028680418483389,1.5235387137641816,0.7215945028029604,train
2099697,20,10,44471,9.9390586197588,11.80555582482754,1.2078982247883718,1.837744011831243,0.8409384981134549,271705,5.221214725445853,5.770002676697345,1.1269601728979206,1.7985125864870546,0.7563552916125439,568871,12.512263581100889,13.719048071990267,1.1126313931347849,1.5876892959227265,0.800809473786525,1203648,6.450666376765797,6.761151270652983,1.0549465944434324,1.5716760425052194,0.7378312713562595,train
2099697,20,15,48213,9.301464681731881,10.99464351327288,1.1997775528457417,1.8378882270055483,0.8315339560261387,271705,5.221214725445853,5.854037220022984,1.151302825672674,1.8467599331820828,0.7687184638645154,715768,11.537257052009679,12.555667554542651,1.104099696665827,1.5787784265200544,0.792370735861734,1056751,6.171935355837451,6.532293345640096,1.0707803655977963,1.6070106016255197,0.744389762159481,train
2099697,20,30,52554,8.573863558313132,10.160203373732898,1.1947821920146748,1.8546291987348,0.8126376059655538,271705,5.221214725445853,6.073296346094407,1.1972974303770536,1.9458090704564988,0.7884426527765095,980021,10.266166459281951,11.158751716741335,1.10079534498315,1.5900010525167558,0.7815093164338596,792498,5.741030792531376,6.18445788615642,1.0991452503125836,1.6811806556915687,0.7526721887540818,train
2099697,20,60,54519,8.23620265159989,9.848475470995902,1.1934823646520467,1.8840096209437025,0.8024699949543035,271705,5.221214725445853,6.389158590188282,1.2443542503234253,2.0603079025285287,0.8059759665861836,1233598,9.38196630613606,10.326923080866631,1.108072107653034,1.6271038642991336,0.7752617056250841,538921,5.3665173630686995,5.91526107677781,1.1313147350887742,1.7655503803020318,0.7597949954440376,train
2099697,20,120,55231,8.12173796933099,9.787440071744898,1.1981711440542402,1.922344485703115,0.7954263032583688,271705,5.221214725445853,6.680661029183103,1.2901532128403597,2.1553719856349285,0.8231227823475717,1451071,8.766549698316876,9.86172760971923,1.1254237012807924,1.686049992771976,0.7727793613617627,321448,5.081706919361779,5.700778828067952,1.1595865307172004,1.8508803705664858,0.7654103071187139,train
2099697,25,5,25269,12.68782758031793,15.974273094021362,1.293284557603137,1.9608725791725055,0.8995698464786742,339912,5.240105351776925,5.637231775391928,1.0801562804311917,1.7122367150690065,0.7290095655503962,250309,16.378013347412804,18.90985221243654,1.1728392639632377,1.695204538056705,0.8394325502285045,1463863,7.270604176191193,7.596378814488176,1.0313416580674248,1.5179516166885931,0.7262851240994024,train
2099697,25,10,33181,10.820632830444445,13.05963483951291,1.2363376778112056,1.885423988613616,0.8612640139749125,339912,5.240105351776925,5.770918465800547,1.119985839229392,1.7810277841243436,0.7528998990900916,433926,13.610806084314387,15.185805448882501,1.1328024366090557,1.6219877338256339,0.8136527253079854,1280246,6.823327235009838,7.191923368160957,1.05334833592898,1.5551913909336308,0.7408839036127502,train
