total,target,horizon,total_up,total_down,total_flat,total_strong_up,total_strong_down,up_case0_pct,down_case0_pct,flat_case0_pct,strong_up_case0_pct,strong_down_case0_pct,up_case1_pct,down_case1_pct,flat_case1_pct,strong_up_case1_pct,strong_down_case1_pct,up_case2_pct,down_case2_pct,flat_case2_pct,strong_up_case2_pct,strong_down_case2_pct,up_case3_pct,down_case3_pct,flat_case3_pct,strong_up_case3_pct,strong_down_case3_pct,dataset
2099697,15,60,570831,573845,954443,167921,167006,9.744915745641004,0.0008713154248969669,1.4731104948121574,15.507292119508579,0.001197561764247991,3.9876951321844825,11.186818740252159,12.213406143687994,0.6520923529516857,11.119360981042597,77.22197988546523,66.4956564926069,59.63719153474854,82.61980335991329,69.11488210004431,9.045409236709288,22.316653451716057,26.67629182675131,1.2208121676264434,19.764559357148844,train
2099697,15,120,570876,573845,954845,167921,167006,9.75203021321618,0.0008713154248969669,1.5145913734689924,15.507292119508579,0.001197561764247991,3.9873807972309225,11.186818740252159,12.208264168529972,0.6520923529516857,11.119360981042597,81.27684470883344,76.09964363199123,70.51929894380763,83.18018592076035,77.68403530412081,4.983744280719455,12.712666312331727,15.757845514193402,0.6604296067793783,11.195406153072344,train
2099697,20,5,560057,573845,946362,166551,167006,5.970820827165806,0.0008713154248969669,0.2742079669302022,12.524091719653441,0.001197561764247991,6.571831081479207,13.791877597609112,16.45828974536171,1.968766323828737,13.045040297953367,37.16157462543991,11.363695771506244,8.374913616565332,66.84619125673217,15.26352346622277,50.295773465915076,74.84355531545975,74.89258867114276,18.66095069978565,71.69023867405961,train
2099697,20,10,566082,573845,948768,167561,167006,6.971604820503037,0.0008713154248969669,0.5271046241019933,13.051366368068942,0.001197561764247991,6.501884885935254,13.791877597609112,16.416552834834228,1.9568992784717207,13.045040297953367,47.96089612458972,23.11338427624184,17.363359641134608,72.12835922440186,28.404967486198103,38.56561416897198,63.09386681072415,65.69298289992918,12.863375129057477,58.54879465408428,train
2099697,20,15,568236,573845,950356,167776,167006,7.324245559943404,0.0008713154248969669,0.6933191351451456,13.162788479877932,0.001197561764247991,6.477238330552798,13.791877597609112,16.38912155024012,1.954391569711997,13.045040297953367,54.181009298953256,31.333373994719828,24.000164149013635,74.72522887659737,36.99627558291319,32.01750681055054,54.87387709224616,58.91739516560111,10.157591073812702,49.957486557369194,train
2099697,20,30,570165,573845,952768,167906,167006,7.637789061061271,0.0008713154248969669,0.9447210653590381,13.230021559682204,0.001197561764247991,6.455324335937843,13.791877597609112,16.34763132263048,1.9528783962455183,13.045040297953367,63.85993528189209,46.04292099783042,36.91339339692349,78.33251938584684,51.37839359064944,22.0469513211088,40.16433008913557,45.79425421508699,6.484580658225436,35.57536854963295,train
2099697,20,60,570743,573845,954155,167920,167006,7.731325657958135,0.0008713154248969669,1.0887120017187983,13.237255836112436,0.001197561764247991,6.448786932121813,13.791877597609112,16.323867715413115,1.95271557884707,13.045040297953367,71.85563379664754,59.63596441547805,50.43928921401659,80.91412577417817,63.98093481671317,13.964253613272524,26.571286671487947,32.1481310688515,3.895902810862315,22.972827323569213,train
2099697,20,120,570857,573845,954753,167921,167006,7.749751689127049,0.0008713154248969669,1.1506640984631626,13.237772523984493,0.001197561764247991,6.447499110985763,13.791877597609112,16.313643424006,1.9527039500717598,13.045040297953367,77.93615563967859,70.79943190234297,62.83174810657835,82.69722071688473,73.85483156293786,7.866593560208599,15.407819184623026,19.703944370952485,2.1123028090590217,13.098930577344525,train
2099697,25,5,558170,573845,947338,165375,167006,4.267875378468925,0.0008713154248969669,0.15221599893596582,9.919879062736205,0.001197561764247991,9.204722575559417,16.346400160322037,20.555598952010794,3.6668178382464096,14.925212267822713,27.758389021265923,7.9934477080047746,5.2251677859433485,55.518669690098264,11.630719854376489,58.76901302470573,75.65928081624828,74.06701726310989,30.894633408919127,73.44287031603655,train
2099697,25,10,564428,573845,948992,167052,167006,5.329289121021636,0.0008713154248969669,0.3262408956029134,10.824174508536265,0.001197561764247991,9.102666770606703,16.346400160322037,20.51977255867278,3.630007422838397,14.925212267822713,38.54893803992715,17.715759482090114,12.084822632856758,63.51255896367598,23.265032394045722,47.019106068444515,65.93696904216296,67.06916391286755,22.03325910494936,61.80855777636731,train
