total,target,horizon,case0_count,case0_mfe_median,case0_mfe_p75,case0_mfe_p90,case0_mfe_p95,case0_mfe_p99,case0_mae_p95,case1_count,case1_mfe_median,case1_mfe_p75,case1_mfe_p90,case1_mfe_p95,case1_mfe_p99,case1_mae_p95,case2_count,case2_mfe_median,case2_mfe_p75,case2_mfe_p90,case2_mfe_p95,case2_mfe_p99,case2_mae_p95,case3_count,case3_mfe_median,case3_mfe_p75,case3_mfe_p90,case3_mfe_p95,case3_mfe_p99,case3_mae_p95,dataset
2099697,15,60,69692,18.443463711406274,22.77917621137856,30.567890530226947,38.903209933174566,65.15628473040852,0.0,203528,7.477663858787691,11.307889427470174,13.523041282380426,14.271185519174235,14.853866770237357,607.1355819406904,1391592,18.53167347402995,22.81869556872274,30.237370906486998,37.69507613455606,63.82740508251958,57.21424826004109,434307,18.538953074179858,23.443250574157855,32.38882135519977,42.187140540912736,72.15428772320638,204.2312379386498,train
2099697,15,120,70139,18.422785028484615,22.74521564965594,30.54020053072486,38.90268933850016,65.08341183663617,0.0,203528,7.477663858787691,11.307889427470174,13.523041282380426,14.271185519174235,14.853866770237357,607.1355819406904,1574034,18.48644943072587,22.783992684333747,30.21744744329858,37.705030612807555,63.99129281878818,71.66502145324296,251865,18.866988641877057,24.19436454797469,34.321596314662926,44.97198581056977,76.73863686576091,239.35127457086116,train
2099697,20,5,36040,24.706778632186552,30.280274569927823,40.12779395038246,49.76796143238055,82.50971539127306,0.0,271705,10.051008035269538,15.01686709902921,18.01624405308142,19.01443474410475,19.79920171372535,595.2504749508402,352593,25.21564829620935,31.32442924572675,41.75786688144778,52.069666888003376,86.78440587697932,29.596245200748214,1419926,23.636912667538333,28.212443769122068,36.35088493020393,44.97480689510229,73.46301444500264,140.44740247735263,train
2099697,20,10,44471,24.20110601917861,29.315302593115938,38.403643474191156,47.5065695491798,78.15151200711503,0.0,271705,10.051008035269538,15.01686709902921,18.01624405308142,19.01443474410475,19.79920171372535,595.2504749508402,568871,24.64050093766384,30.117474000010297,39.428568339493374,48.72943816004724,79.98753808085822,35.046816533027126,1203648,23.593800734921587,28.194401060639713,36.51364668795387,45.399153931670156,74.49468451820701,150.99686508909156,train
2099697,20,15,48213,24.014065843142053,28.910603809643252,37.74849697055385,46.69652442794009,76.71095695867773,0.0,271705,10.051008035269538,15.01686709902921,18.01624405308142,19.01443474410475,19.79920171372535,595.2504749508402,715768,24.383787556752456,29.602731432318336,38.460486550522724,47.33413366110147,77.31540247026052,39.52802598599545,1056751,23.60232376439183,28.270276356999823,36.79829737349924,45.95041491622361,75.49064224640688,159.67057243726586,train
2099697,20,30,52554,23.773832737926327,28.477166309759173,37.11631368509344,45.74660385350022,75.35557031637977,0.0,271705,10.051008035269538,15.01686709902921,18.01624405308142,19.01443474410475,19.79920171372535,595.2504749508402,980021,24.079534857192655,28.977377442565253,37.37060145191447,45.7756526620431,74.576779645308,49.336213949875905,792498,23.69551419114386,28.606846943357276,37.754331508269104,47.48194099513284,77.87120363418492,178.4160847214118,train
2099697,20,60,54519,23.676035155558,28.308842438436727,36.877606516681276,45.54076430957311,74.16007448727505,0.0,271705,10.051008035269538,15.01686709902921,18.01624405308142,19.01443474410475,19.79920171372535,595.2504749508402,1233598,23.90949261769732,28.660757897390134,36.908056690764184,45.250160209103214,73.82836405384043,62.251591956314115,538921,23.90180233361973,29.195689898704643,39.11162807604178,49.3805437078947,80.81191519092994,203.44805444972258,train
2099697,20,120,55231,23.633182566688255,28.250929395302506,36.803403211577496,45.49109251499988,74.05811519326173,0.0,271705,10.051008035269538,15.01686709902921,18.01624405308142,19.01443474410475,19.79920171372535,595.2504749508402,1451071,23.84842180637304,28.583837090092743,36.809650231666495,45.20811031973183,73.9729506913872,78.51455265995949,321448,24.214603986899306,29.991615377052064,41.14690032497154,51.70005240109906,84.9015166881205,236.35990303237136,train
2099697,25,5,25269,30.40124475729284,36.87492689653452,47.88547889546709,58.453524615309995,94.78309676457366,0.0,339912,12.56017514453774,18.77712309274686,22.488090609815764,23.742786695027547,24.749649034166524,584.2118492982877,250309,30.956157584734072,37.9960815891813,49.93161902583305,61.59387944198122,100.54465440619086,32.46063539243702,1463863,29.050082845262278,34.127680237588066,43.4020429608296,52.851422910092474,83.15262724763217,147.2061113698572,train
2099697,25,10,33181,29.826079717350083,35.57850174950447,45.69813517742643,55.62087490746849,90.23703132655979,0.0,339912,12.56017514453774,18.77712309274686,22.488090609815764,23.742786695027547,24.749649034166524,584.2118492982877,433926,30.25233441312842,36.44388037290504,47.01520532591969,57.46121059926374,91.63902959212768,37.90880738003992,1280246,28.99307821062277,34.07021148104643,43.4865537426964,53.09944883632411,83.7515328751037,155.9507930770438,train
2099697,25,15,36961,29.533767283162902,35.01328445204304,44.787075043934294,54.65282617466897,87.85069039489623,0.0,339912,12.56017514453774,18.77712309274686,22.488090609815764,23.742786695027547,24.749649034166524,584.2118492982877,567756,29.933321747630206,35.74942318954999,45.7435542324112,55.695162430922224,88.42566402811319,42.59083558774369,1146416,28.98737356059501,34.120499236778436,43.72280075348145,53.539580959897386,84.531080285507,163.39383832747365,train
2099697,25,30,41571,29.215742697717484,34.423043563644285,43.77826220116327,53.186758012203015,85.59932192195534,0.0,339912,12.56017514453774,18.77712309274686,22.488090609815764,23.742786695027547,24.749649034166524,584.2118492982877,825049,29.52305362922618,34.93589135425936,44.31492844517539,53.78228252196001,84.94139506155932,52.705974505917816,889123,29.064482029599155,34.41337979487384,44.560117971650854,54.79370838418439,86.35907607316926,180.47992071167056,train
2099697,25,60,44103,29.04548881968515,34.124995661749765,43.38014011107849,52.7408966995636,84.52282246490067,0.0,339912,12.56017514453774,18.77712309274686,22.488090609815764,23.742786695027547,24.749649034166524,584.2118492982877,1091084,29.305223271558507,34.538046669168615,43.72778973491465,53.01203191876952,83.59044645838031,66.5564987576531,623088,29.24479881069132,34.92717313959332,45.77838058929858,56.60216937577251,88.95340742758754,203.45996300239443,train
2099697,25,120,45168,28.966152875713675,33.9933174331713,43.18336668335418,52.591492448945274,83.90314983406978,0.0,339912,12.56017514453774,18.77712309274686,22.488090609815764,23.742786695027547,24.749649034166524,584.2118492982877,1333662,29.21624945956902,34.39865672796348,43.58613197367588,52.93912750451858,83.5295228621728,84.13342239561193,380510,29.549318240523718,35.76979095423326,47.58126934709169,58.90219449619776,92.44623195032447,234.2190545252361,train
2099697,30,5,18344,36.116966723590124,43.44374971090084,55.587986023804696,67.2940132038781,105.96072455612523,0.0,405835,14.95720516042032,22.372745662071676,26.904446099151876,28.441898034851956,29.67975608361912,574.6611849812347,182965,36.76713384298906,44.74499926386574,58.158272558021686,71.05805870932205,113.70937857255899,35.37147753137044,1472202,34.45015650778839,40.13727756938761,50.37674182923366,60.73766257097729,92.18276809748036,153.3694259982629,train
2099697,30,10,25514,35.31784367369047,41.788524170237864,52.903423914481856,63.804143798085676,99.54332787805554,0.0,405835,14.95720516042032,22.372745662071676,26.904446099151876,28.441898034851956,29.67975608361912,574.6611849812347,336425,35.86300998826526,42.82014683635058,54.62913908596152,66.0680519604319,103.44659765216285,40.8228138274681,1318742,34.387730122841425,40.05965512730919,50.383199559455846,60.8708218809381,92.56289352988667,160.82586413803062,train
2099697,30,15,29105,35.00037859713727,41.09032006341481,51.87378541531639,62.53265094685133,96.93129571100769,0.0,405835,14.95720516042032,22.372745662071676,26.904446099151876,28.441898034851956,29.67975608361912,574.6611849812347,455020,35.46379574005144,42.00440142725629,53.12165346867285,63.96527832303817,99.44777135395469,45.521728001943906,1200147,34.37665989874838,40.08832367429473,50.584940709864064,61.21464164549552,93.16397016674435,167.01632786713566,train
2099697,30,30,33865,34.60334807014111,40.31393548757458,50.62607202721422,61.08081384036598,95.11668207312009,0.0,405835,14.95720516042032,22.372745662071676,26.904446099151876,28.441898034851956,29.67975608361912,574.6611849812347,697650,34.9722040993691,40.98764266061853,51.36454100440194,61.67496861112242,94.83901024040652,55.988114579853345,957517,34.42987883512954,40.346577569928066,51.299798042806074,62.30646752249876,94.82606209076236,182.76918562139403,train
2099697,30,60,36757,34.368246678186686,39.887269163861355,50.119193902280514,60.5952133073181,92.73700496653326,0.0,405835,14.95720516042032,22.372745662071676,26.904446099151876,28.441898034851956,29.67975608361912,574.6611849812347,966110,34.706984093362806,40.49234756138985,50.545488460196005,60.72467021440982,92.59101852066297,70.39884102787263,689057,34.58230393218186,40.834175775895574,52.450423473235496,63.99616267367038,97.55266543252046,203.93953618236188,train
2099697,30,120,38053,34.25693114731558,39.69534930503745,49.8207540070653,60.288536745901645,92.11354823004707,0.0,405835,14.95720516042032,22.372745662071676,26.904446099151876,28.441898034851956,29.67975608361912,574.6611849812347,1225470,34.58436132155006,40.30726312793166,50.38451801705194,60.58984659234446,92.43944776220214,88.78723960782978,429697,34.889404297198574,41.656844828545125,54.00890710627256,66.36079725364202,100.62475995455033,233.20071940022302,train
2099697,50,5,6304,58.722207027628954,69.26428466419102,85.64715474713935,99.55757768702085,159.2028761103459,0.0,651302,23.943989317159193,36.42779598157204,44.471761243859795,47.22098204245078,49.447547060673514,546.94264089488,65966,59.94642800962589,71.55450338972454,90.26535559662594,108.47373851440196,169.89712326564558,47.02668848789517,1358430,55.907178076810695,63.38106268245873,76.65730446461255,89.4161716343645,125.85910598007953,172.77621365028125,train
2099697,50,10,10419,57.56307715820527,66.61741685105495,81.51162068977466,95.0231215410562,139.56379845469235,0.0,651302,23.943989317159193,36.42779598157204,44.471761243859795,47.22098204245078,49.447547060673514,546.94264089488,141070,58.387311111496345,68.22134343274402,84.3789225977846,99.44857630699447,149.18274043600383,51.462892822331156,1283326,55.83221594913914,63.25239869415755,76.50572871333165,89.30351785116815,125.78372296612983,177.05088175603294,train
2099697,50,15,12985,57.03905153061659,65.4080133006778,79.47520547525029,92.35864479161773,130.80419586888402,0.0,651302,23.943989317159193,36.42779598157204,44.471761243859795,47.22098204245078,49.447547060673514,546.94264089488,208821,57.71803446605635,66.78550672388971,81.9775278053243,96.09154514470558,141.53756230216322,56.23441687055848,1215575,55.796810087755674,63.20929446198169,76.49826807563339,89.3185176554034,125.84723523991012,181.0454348499206,train
2099697,50,30,17392,56.2315715051115,63.9654888920456,77.37310631361342,90.05224009684424,125.27903018269132,0.0,651302,23.943989317159193,36.42779598157204,44.471761243859795,47.22098204245078,49.447547060673514,546.94264089488,377075,56.80402764237107,64.88582748969696,78.69331468513194,91.74847955536276,132.08645778138893,67.10756211052221,1047321,55.79070491513554,63.29256325362146,76.83525042197041,89.86064662256594,126.73659303528986,191.43040216636348,train
2099697,50,60,20515,55.85737191388019,63.3317373897965,75.90897998421514,88.35412647457643,124.33523413724076,0.0,651302,23.943989317159193,36.42779598157204,44.471761243859795,47.22098204245078,49.447547060673514,546.94264089488,606801,56.277168599592024,63.87617900131604,76.96886801643716,89.45229492765405,127.96657199751841,83.01691073360901,817595,55.880054643273056,63.61147028016504,77.64798163337,91.0589786132716,128.28805519826588,206.79217685070648,train
2099697,50,120,22594,55.61498048590258,62.872464832619016,75.33357400501275,87.46324207058282,122.74440109072901,0.0,651302,23.943989317159193,36.42779598157204,44.471761243859795,47.22098204245078,49.447547060673514,546.94264089488,875063,56.01973960217795,63.42081759161177,76.28734320439305,88.71294366349673,126.06372577593034,103.54053974115821,549333,56.092827331671245,64.25251054714371,79.1829684674817,92.8724251137814,130.99367753874492,231.23154567479907,train
1049132,12,5,42576,14.846190857433472,17.93287010100504,22.69748677309063,27.266689337919683,41.22942238930602,0.0,102711,5.5725271612771525,8.837678237073394,10.746142768432426,11.355918688322117,11.873216502182041,457.38625739341285,211612,15.258195115416381,18.82623154668284,24.370455064191688,29.488314030484062,45.979644703433834,17.482636611091294,675041,14.367783880730641,17.099651864886994,21.536502310547842,25.80909304657743,40.226330654770706,101.79914942255374,test
