feature,quartile,noise_pct,real_up_pct,real_down_pct,real_both_pct,sample_size,noise_count,real_up_count,real_down_count,real_both_count
day_of_week,Q1,5.176063980765699,26.456013223582055,26.52496952899337,41.84295326665888,598930,31001,158453,158866,250610
day_of_week,Q2,4.698955491983234,26.11186880447076,26.50056549797086,42.688610205575145,601240,28252,156995,159332,256661
day_of_week,Q3,10.368343345467741,26.336823848021957,26.977667031198244,36.317165775312056,600771,62290,158224,162074,218183
day_of_week,Q4,13.428282814768233,26.933831940755802,27.61216994574634,32.02571529872962,298966,40146,80523,82551,95746
dist_from_high20_pct,Q1,18.498700883094717,26.741235723048085,31.034036100973005,23.72602729288419,524972,97113,140384,162920,124555
dist_from_high20_pct,Q2,9.526984296305328,29.501192444549424,31.1755674588359,29.79625580030935,524972,50014,154873,163663,156422
dist_from_high20_pct,Q3,2.5763278803440945,28.602287360087775,27.72509771949742,41.096287040070706,524972,13525,150154,145549,215744
dist_from_high20_pct,Q4,0.1975343446888596,20.71996220750821,17.27387365421394,61.808629793588985,524972,1037,108774,90683,324478
dist_from_low20_pct,Q1,18.926152251929626,29.536622905602584,26.723901465221,24.81332337724679,524972,99357,155059,140293,130263
dist_from_low20_pct,Q2,8.904665391678032,30.464100942526457,29.9530260661521,30.678207599643407,524972,46747,159928,157245,161052
dist_from_low20_pct,Q3,2.6995725486311652,27.330981461868443,29.211653192932197,40.7577927965682,524972,14172,143480,153353,213967
dist_from_low20_pct,Q4,0.26915721219417416,18.23297242519601,21.31999420921497,60.17787615339485,524972,1413,95718,111924,315917
atr14_pct,Q1,27.69089516814166,31.278691897122524,31.991870073565547,9.038542861170267,524974,145370,164205,167949,47450
atr14_pct,Q2,2.871195280519189,33.06570052174112,33.730496616016445,30.332607581723252,524973,15073,173586,177076,159238
atr14_pct,Q3,0.22934512822564207,25.2315833385717,25.954096686877232,48.58497484632543,524973,1204,132459,136252,255058
atr14_pct,Q4,0.008000396210098024,15.9884108546328,15.532769241905314,68.47081950725179,524974,42,83935,81543,359454
true_range_pct,Q1,24.510026153526727,30.663629073273686,31.333182215601823,13.493162557597763,524977,128672,160977,164492,70836
true_range_pct,Q2,5.0967947167209235,31.28651350440115,32.09607278033133,31.520618998546603,524977,26757,164247,168497,165476
true_range_pct,Q3,1.0610008838499285,25.9644250403828,26.476638932065466,46.49793514370181,524976,5570,136307,138996,244103
true_range_pct,Q4,0.13143432950395922,17.651058998775184,17.303234236928475,64.91427243479238,524977,690,92664,90838,340785
volatility_ratio,Q1,10.153112927927586,27.191354967503027,27.523944134163347,35.131587970406045,524972,53301,142747,144493,184431
volatility_ratio,Q2,5.992129104028406,26.25568601753998,26.7764756977515,40.97570918068011,524972,31457,137835,140569,215111
volatility_ratio,Q3,6.168721700817759,26.14734909166411,26.668330250623367,41.01559895689476,524971,32384,137266,140001,215320
volatility_ratio,Q4,8.485595422232043,25.970337465617217,26.239685164161138,39.30438194798961,524972,44547,136337,137751,206337
tail_body_ratio,Q1,13.680027886936,28.116850833465083,28.206188080620677,29.996933198978244,524977,71817,147607,148076,157477
tail_body_ratio,Q2,4.577914841983553,25.893705819493047,26.383251075761414,43.145128262761986,524977,24033,135936,138506,226502
tail_body_ratio,Q3,5.004609734540246,25.84003840175551,26.170529700405353,42.984822163298894,524976,26273,135654,137389,225660
tail_body_ratio,Q4,7.536711132106739,25.715031325181865,26.449158725048903,40.29909881766249,524977,39566,134998,138852,211561
wick_imbalance,Q1,6.194366610346739,26.499446642424335,26.26096000396208,41.04522674326685,524977,32519,139116,137864,215478
wick_imbalance,Q2,11.212257229175657,27.063789382822616,26.899438929650408,34.82451445835132,579250,64947,156767,155815,201721
wick_imbalance,Q3,7.114677408047113,26.22609161190815,27.064624614672095,39.59460636537264,470703,33489,123447,127394,186373
wick_imbalance,Q4,5.854351714456062,25.68969688195864,27.00118290896554,41.45476849461976,524977,30734,134865,141750,217628
minute_of_hour,Q1,7.356218791744948,26.62050761856458,27.276282797688356,38.74699079200211,559948,41191,149061,152733,216963
minute_of_hour,Q2,7.80166838432656,27.158012645278784,27.23687895164962,37.803440018745036,524939,40954,142563,142977,198445
minute_of_hour,Q3,7.967125061902404,26.6435564359453,27.171345853491296,38.217972648661004,525020,41829,139884,142655,200652
minute_of_hour,Q4,7.696938775510204,25.038163265306125,25.399591836734693,41.86530612244898,490000,37715,122687,124458,205140
bars_since_hour_open,Q1,4.204761904761905,27.632761904761903,28.33980952380952,39.82266666666667,525000,22075,145072,148784,209069
bars_since_hour_open,Q2,0.15391179787266465,20.47445978482826,20.944386029075616,58.42724238822347,524976,808,107486,109953,306729
bars_since_hour_open,Q3,6.071896620035964,27.310581817073544,27.498590411752154,39.118931151138334,524976,31876,143374,144361,205365
bars_since_hour_open,Q4,20.369364993189894,30.14791744054252,30.42641750245259,19.056300063814994,524955,106930,158263,159725,100037
