feature,horizon,q1_mfe_median_train,q4_mfe_median_train,q4_q1_diff_train,spearman_r_train,p_value_train,q1_count_train,q4_count_train,pct_profitable_q1_train,pct_profitable_q4_train,status_train,q1_mfe_median_oos,q4_mfe_median_oos,q4_q1_diff_oos,spearman_r_oos,p_value_oos,q1_count_oos,q4_count_oos,pct_profitable_q1_oos,pct_profitable_q4_oos,status_oos
body_bps,10,61.88775354079495,134.46167040614014,72.5739168653452,0.37897301431921254,0.0,34976,34976,91.35407136322048,99.95711344922232,OK,53.17708365678118,94.53848439046122,41.36140073368004,0.3216955089917909,0.0,17483,17483,92.35257106903849,99.75404678830864,OK
ema_separation,10,59.74387374637524,132.1223520332889,72.37847828691366,0.3909209408047502,0.0,34976,34976,90.71935041171089,99.78842634949679,OK,57.670736894066536,85.80656160246086,28.135824708394324,0.231718190809211,0.0,17483,17483,93.19910770462735,99.30217925985244,OK
atr_percentile,10,72.52420713274353,107.60677310337755,35.08256597063402,0.20141132380395446,0.0,34984,34507,93.39126457809284,99.06685600023184,OK,48.31067535603264,89.38890496858467,41.07822961255203,0.34546588680206236,0.0,17788,17457,90.94895435124803,99.55318783296099,OK
hour_utc,10,73.98158118892262,91.5392174870608,17.557636298138178,0.11093316398332394,1.17662402423541e-136,40766,29170,95.5526664377177,97.44257799108674,OK,57.590430459973014,67.23252195163445,9.64209149166144,0.10851093075031007,8.345813440815773e-131,20391,17470,95.38521896915306,96.43961076130509,OK
ll_count5,10,86.47595478753229,94.01230543557922,7.536350648046934,0.02445974116955944,4.499188951139112e-08,79966,19979,96.69359477778056,97.056909755243,OK,65.96225587966683,69.58819609578808,3.6259402161212506,0.02083222416001102,3.1834243224788923e-06,39181,11364,96.19713636711673,97.02569517775432,OK
hh_count5,10,87.86704430649301,89.94468803522186,2.0776437287288445,-0.0016423294054928503,0.7134496370182433,77830,21152,96.55017345496594,97.28630862329804,OK,67.2411458691283,67.3566223182739,0.11547644914560351,-0.0054426510316267366,0.22360712443892392,38393,11724,96.40038548693772,96.82702149437053,OK
dist_from_high20,10,93.04638264787512,94.55877304870123,1.5123904008261064,0.007148865987253226,0.10992830065159778,34976,34976,97.48970722781335,96.97792772186642,OK,68.90552714128191,69.90062225058757,0.9950951093056659,0.012652600745229815,0.0046657230358632595,17483,17483,96.5680947205857,96.9970828805125,OK
range_position_50,10,96.95796960947055,97.05422224291185,0.09625263344129564,-0.006826943616293442,0.12687776991597224,34976,34976,97.70128087831657,98.12156907593778,OK,72.75672122244512,70.67692294380012,-2.0797982786450007,-0.0181659674242883,4.859835740631782e-05,17483,17483,97.7864210947778,97.01996224904192,OK
session_us,10,87.85922971817078,87.85922971817078,0.0,0.021259704892452855,1.9920124537288535e-06,139903,139903,96.75846836736882,96.75846836736882,OK,66.96149529932323,66.96149529932323,0.0,0.05970973656265477,9.93495111223693e-41,69931,69931,96.37928815546753,96.37928815546753,OK
rsi_oversold_zone,10,87.85922971817078,87.85922971817078,0.0,0.08541725210139564,1.3063161701717414e-81,139903,139903,96.75846836736882,96.75846836736882,OK,66.96149529932323,66.96149529932323,0.0,0.07412146111245443,7.389940183709775e-62,69931,69931,96.37928815546753,96.37928815546753,OK
